userId,authType,완료한 Stage
ID056082,SUMTOTAL,4
ID068564,SUMTOTAL,4
ID046789,SUMTOTAL,4
ID030904,SUMTOTAL,4
ID026799,SUMTOTAL,4
ID007530,SUMTOTAL,4
ID063942,SUMTOTAL,4
ID062132,SUMTOTAL,4
ID067080,SUMTOTAL,4
ID065223,SUMTOTAL,4
ID004780,SUMTOTAL,4
ID063367,SUMTOTAL,4
ID051686,SUMTOTAL,4
ID047391,SUMTOTAL,4
ID034795,SUMTOTAL,4
ID067865,SUMTOTAL,4
ID029864,SUMTOTAL,4
ID065457,SUMTOTAL,4
ID029127,SUMTOTAL,4
ID045183,SUMTOTAL,4
ID066166,SUMTOTAL,4
IDAC-177120717,SUMTOTAL,4
ID057157,SUMTOTAL,4
ID067954,SUMTOTAL,4
ID056830,SUMTOTAL,4
ID060235,SUMTOTAL,4
ID039484,SUMTOTAL,4
IDKS-78530717,SUMTOTAL,4
ID061650,SUMTOTAL,4
ID063629,SUMTOTAL,4
ID054338,SUMTOTAL,4
ID034937,SUMTOTAL,4
ID059843,SUMTOTAL,4
ID062315,SUMTOTAL,4
ID033797,SUMTOTAL,4
ID065510,SUMTOTAL,4
IDFL-00288053,SUMTOTAL,4
ID054509,SUMTOTAL,4
ID046476,SUMTOTAL,4
ID054844,SUMTOTAL,4
IDAC-201530817,SUMTOTAL,4
ID053931,SUMTOTAL,4
ID065150,SUMTOTAL,4
ID039481,SUMTOTAL,4
ID062319,SUMTOTAL,4
ID064515,SUMTOTAL,4
ID068120,SUMTOTAL,4
ID067062,SUMTOTAL,4
ID054091,SUMTOTAL,4
ID045449,SUMTOTAL,4
ID058951,SUMTOTAL,4
ID030670,SUMTOTAL,3
ID030503,SUMTOTAL,4
IDFL-0000584,SUMTOTAL,4
IDFL-00260435,SUMTOTAL,4
IDAC-196890817,SUMTOTAL,4
ID051541,SUMTOTAL,4
ID067418,SUMTOTAL,4
ID067939,SUMTOTAL,4
ID044013,SUMTOTAL,4
ID042478,SUMTOTAL,4
ID068757,SUMTOTAL,4
ID068734,SUMTOTAL,4
ID048680,SUMTOTAL,4
ID057122,SUMTOTAL,4
ID066700,SUMTOTAL,4
ID068559,SUMTOTAL,4
ID046534,SUMTOTAL,4
ID061097,SUMTOTAL,4
ID043685,SUMTOTAL,4
ID045173,SUMTOTAL,4
ID067302,SUMTOTAL,4
ID068655,SUMTOTAL,4
ID037921,SUMTOTAL,4
IDFL-00267435,SUMTOTAL,4
ID036965,SUMTOTAL,4
ID068041,SUMTOTAL,4
IDAC-257491017,SUMTOTAL,4
ID065115,SUMTOTAL,4
IDKS-79280817,SUMTOTAL,4
ID064694,SUMTOTAL,4
ID039575,SUMTOTAL,4
ID063687,SUMTOTAL,4
ID061024,SUMTOTAL,4
ID067063,SUMTOTAL,4
IDFL-0009299,SUMTOTAL,4
ID066080,SUMTOTAL,4
ID054674,SUMTOTAL,4
ID061410,SUMTOTAL,4
ID066775,SUMTOTAL,4
ID008436,SUMTOTAL,4
ID051264,SUMTOTAL,4
ID058289,SUMTOTAL,4
ID028524,SUMTOTAL,4
ID068875,SUMTOTAL,4
ID058733,SUMTOTAL,4
ID058390,SUMTOTAL,4
ID066110,SUMTOTAL,4
ID048994,SUMTOTAL,4
ID057884,SUMTOTAL,4
IDFL-00291117,SUMTOTAL,4
ID057278,SUMTOTAL,4
ID056235,SUMTOTAL,4
IDKS-73320517,SUMTOTAL,4
ID035355,SUMTOTAL,4
ID047862,SUMTOTAL,4
ID041045,SUMTOTAL,4
ID055759,SUMTOTAL,4
IDAC-206860817,SUMTOTAL,4
ID045019,SUMTOTAL,4
ID045724,SUMTOTAL,4
ID045272,SUMTOTAL,4
ID008324,SUMTOTAL,4
ID053303,SUMTOTAL,4
ID065716,SUMTOTAL,4
ID053415,SUMTOTAL,4
